DEPTH,DT,GR,NPHI,PHIE,RHOB,VCL,DepoFacies
2545.2,80.6814,108.582000732422,0.2197,0.0395,2.388,0.7382,0.0
2545.35,81.0032,106.516700744629,0.2302,0.0567,2.3661,0.7118,0.0
2545.5,80.9595,107.20909881591801,0.225,0.0576,2.3547,0.7206,0.0
2545.65,80.3105,108.85790252685499,0.2136,0.0001,2.3632,0.7418,0.0
2545.8,79.4701,109.29239654541,0.2115,0.0001,2.3956,0.7473,0.0
2545.95,78.7008,110.70310211181601,0.22,0.0001,2.4375,0.7654,0.0
2546.1,78.3367,113.79419708251999,0.2328,0.0001,2.4593,0.8051,0.0
2546.25,78.2707,116.673896789551,0.2421,0.0001,2.4506,0.8420000000000001,0.0
2546.4,78.5584,118.00659942626999,0.2434,0.0001,2.4263,0.8591,0.0
2546.55,79.1241,117.65899658203101,0.2376,0.0001,2.4073,0.8546,0.0
2546.7,79.6041,116.32129669189501,0.2335,0.0001,2.4029,0.8375,0.0
2546.85,80.0985,116.41089630126999,0.2406,0.0001,2.411,0.8386,0.0
2547.0,80.648,117.509101867676,0.2605,0.0001,2.4282,0.8527,0.0
2547.15,80.4921,119.815101623535,0.2866,0.0025,2.4513,0.8822,0.0
2547.3,79.6922,123.76840209960899,0.2951,0.0001,2.4754,0.9329,0.0
2547.45,78.796,125.701499938965,0.2715,0.0001,2.4961,0.9577,0.2
2547.6,78.1114,123.52799987793001,0.245,0.0001,2.5042,0.9298,0.4
2547.75,77.7219,119.675796508789,0.2241,0.0001,2.4835,0.8805,0.6
2547.9,77.5803,116.992202758789,0.2117,0.0001,2.4603,0.8461,0.8
2548.05,77.5789,107.400703430176,0.1859,0.0001,2.3999,0.7231,1.0
2548.2,77.8619,92.3382034301758,0.1689,0.08199999999999999,2.3417,0.53,1.0
2548.35,78.2766,78.25599670410159,0.16,0.1284,2.3038,0.3494,1.0
2548.5,79.07600000000001,69.89040374755861,0.1541,0.1504,2.2919,0.2422,1.0
2548.65,80.3961,65.986701965332,0.1544,0.159,2.2929,0.1921,1.0
2548.8,82.0407,63.6232986450195,0.1652,0.1727,2.28,0.1618,1.0
