wellName,datasetName,DEPT,DT,FACIES_2010_New,GR,NPHI,PHIE,RHOB,VCL
,,m,us/ft,unitless,gAPI,V/V,V/V,g/cm3,V/V
15_1-SD-6X,LQC,1234.88,-9999,-9999,20.306352615,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1235.03,-9999,-9999,19.966520309,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1235.18,-9999,-9999,20.923305511,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1235.33,-9999,-9999,21.30491066,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1235.48,-9999,-9999,22.534170151,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1235.63,-9999,-9999,22.891849518,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1235.78,-9999,-9999,24.542329788,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1235.93,-9999,-9999,24.313728333,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1236.08,-9999,-9999,24.51641655,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1236.23,-9999,-9999,22.60303688,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1236.38,-9999,-9999,23.199428558,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1236.53,-9999,-9999,23.677600861,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1236.68,-9999,-9999,24.685361862,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1236.82,-9999,-9999,24.882797241,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1236.97,-9999,-9999,24.889385223,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1237.12,-9999,-9999,25.835832596,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1237.27,-9999,-9999,26.58007431,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1237.42,-9999,-9999,26.397420883,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1237.57,-9999,-9999,25.941858292,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1237.72,-9999,-9999,24.70724678,-9999,-9999,-9999,-9999
