wellName,datasetName,DEPTH,DepoFacies,DT,Facies,GR,NPHI,PHIE,RHOB,VCL
,,M,unitless,US/F,unitless,GAPI,frac,V/V,g/cm3,V/V
SVNE-2P,SVNE-2P,2804.25,0,87.4664,-9999,93.1662979125977,0.3166,0.0001,2.474,0.9284
SVNE-2P,SVNE-2P,2804.4,0,87.4965,-9999,94.0140991210938,0.3287,0.0001,2.4642,0.9521
SVNE-2P,SVNE-2P,2804.55,0,87.6083,1,95.1360015869141,0.3388,0.0001,2.4543,0.9683
SVNE-2P,SVNE-2P,2804.7,0,87.8292,1,96.3133010864258,0.3383,0.0002,2.4526,0.963
SVNE-2P,SVNE-2P,2804.85,0,88.2053,1,97.0179977416992,0.3208,0.0011,2.4583,0.9115
SVNE-2P,SVNE-2P,2805,0,88.6534,1,96.6259994506836,0.3003,0.0063,2.4613,0.8435
SVNE-2P,SVNE-2P,2805.15,0,88.8545,1,96.3951034545898,0.2932,0.0103,2.4595,0.8142
SVNE-2P,SVNE-2P,2805.3,0,89.179,1,96.6250991821289,0.2852,0.02,2.4513,0.7684
SVNE-2P,SVNE-2P,2805.45,0,89.4077,1,98.0369033813477,0.2851,0.026,2.4444,0.754
SVNE-2P,SVNE-2P,2805.6,0,89.6878,1,99.8277969360352,0.2967,0.017,2.4442,0.7955
SVNE-2P,SVNE-2P,2805.75,0,90.0226,1,100.534202575684,0.3148,0.0034,2.4487,0.8701
SVNE-2P,SVNE-2P,2805.9,0,90.2132,1,99.5358963012695,0.3315,0.0005,2.4527,0.9387
SVNE-2P,SVNE-2P,2806.05,0,90.0802,1,98.1516036987305,0.3436,0.0001,2.452,0.981
SVNE-2P,SVNE-2P,2806.2,0,89.7574,1,97.3929977416992,0.3378,0.0002,2.4503,0.9565
SVNE-2P,SVNE-2P,2806.35,0,89.4631,1,96.480598449707,0.3092,0.0045,2.4532,0.8591
SVNE-2P,SVNE-2P,2806.5,0,89.044,1,94.8603973388672,0.2882,0.0074,2.4651,0.8076
SVNE-2P,SVNE-2P,2806.65,0,88.4338,1,92.7629013061523,0.284,0.0001,2.4821,0.8272
SVNE-2P,SVNE-2P,2806.8,0,87.9155,-9999,90.5625991821289,0.2848,0.0001,2.4923,0.851
SVNE-2P,SVNE-2P,2806.95,0,87.749,-9999,88.6149978637695,0.2883,0.0001,2.4884,0.8556
SVNE-2P,SVNE-2P,2807.1,0,88.008,-9999,87.5518035888672,0.2982,0.0001,2.479,0.8722
SVNE-2P,SVNE-2P,2807.25,0,88.4662,-9999,88.3065032958984,0.3081,0.0001,2.4733,0.8963
SVNE-2P,SVNE-2P,2807.4,0,88.72,1,90.5185012817383,0.3112,0.0001,2.4677,0.896
SVNE-2P,SVNE-2P,2807.55,0,88.537,1,91.7238006591797,0.3047,0.0054,2.4572,0.851
SVNE-2P,SVNE-2P,2807.7,0,88.0652,1,91.1127014160156,0.2957,0.0153,2.4486,0.8009
SVNE-2P,SVNE-2P,2807.85,0,87.7667,1,90.4456024169922,0.2893,0.0226,2.4464,0.7732
SVNE-2P,SVNE-2P,2808,0,87.8679,1,90.6752014160156,0.283,0.0265,2.4448,0.7472
SVNE-2P,SVNE-2P,2808.15,0,88.1863,1,91.2403030395508,0.2683,0.0342,2.4427,0.6897
SVNE-2P,SVNE-2P,2808.3,0,88.5022,1,91.2165985107422,0.2509,0.0402,2.444,0.6295
SVNE-2P,SVNE-2P,2808.45,0,88.7434,1,90.720703125,0.2492,0.0365,2.4491,0.6338
SVNE-2P,SVNE-2P,2808.6,0,88.9573,1,90.0232009887695,0.2684,0.0242,2.454,0.7133
SVNE-2P,SVNE-2P,2808.75,0,89.1141,1,89.3265991210938,0.2835,0.017,2.4556,0.7711
SVNE-2P,SVNE-2P,2808.9,0,89.1211,1,88.8951034545898,0.2818,0.02,2.4528,0.7592
SVNE-2P,SVNE-2P,2809.05,0,89.0682,1,88.8787002563477,0.2827,0.0253,2.4463,0.7492
SVNE-2P,SVNE-2P,2809.2,0,89.0646,1,88.9956970214844,0.2865,0.0284,2.441,0.752
SVNE-2P,SVNE-2P,2809.35,0,89.0403,1,89.5335998535156,0.2788,0.0307,2.4419,0.7261
SVNE-2P,SVNE-2P,2809.5,0,88.9755,1,90.5689010620117,0.2755,0.0258,2.449,0.7287
SVNE-2P,SVNE-2P,2809.65,0,88.9683,1,90.6961975097656,0.2888,0.014,2.4569,0.7929
SVNE-2P,SVNE-2P,2809.8,0,88.9916,1,90.3499984741211,0.2984,0.0078,2.4601,0.8342
SVNE-2P,SVNE-2P,2809.95,0,89.0856,1,89.4686965942383,0.3102,0.0011,2.4636,0.884
SVNE-2P,SVNE-2P,2810.1,0,89.2046,1,89.3473968505859,0.3087,0.0018,2.4634,0.8782
SVNE-2P,SVNE-2P,2810.25,0,89.6833,1,89.5514984130859,0.3014,0.0063,2.4596,0.844
SVNE-2P,SVNE-2P,2810.4,0,90.3582,1,88.5531005859375,0.2903,0.0156,2.4543,0.793
SVNE-2P,SVNE-2P,2810.55,0,91.2061,1,87.0792007446289,0.2811,0.0207,2.4522,0.7555
SVNE-2P,SVNE-2P,2810.7,0,92.0407,1,86.7966003417969,0.2732,0.0207,2.4558,0.7343
SVNE-2P,SVNE-2P,2810.85,0,92.7193,1,87.8127975463867,0.2654,0.0204,2.4597,0.7141
SVNE-2P,SVNE-2P,2811,0,92.7384,1,89.0152969360352,0.2654,0.0218,2.4581,0.7108
SVNE-2P,SVNE-2P,2811.15,0,91.8552,1,90.8603973388672,0.2821,0.0174,2.4558,0.7665
SVNE-2P,SVNE-2P,2811.3,0,90.7952,1,93.7882995605469,0.3082,0.0038,2.4581,0.8655
SVNE-2P,SVNE-2P,2811.45,0,90.1427,1,96.6325988769531,0.325,0.0001,2.4638,0.9379
SVNE-2P,SVNE-2P,2811.6,0,89.9736,-9999,96.8350982666016,0.3175,0.0001,2.4697,0.9229
SVNE-2P,SVNE-2P,2811.75,0,90.1186,-9999,94.4804992675781,0.3023,0.0001,2.4735,0.8757
SVNE-2P,SVNE-2P,2811.9,0,90.4882,-9999,92.5610961914062,0.3037,0.0001,2.476,0.8859
SVNE-2P,SVNE-2P,2812.05,0,90.9872,-9999,92.1101989746094,0.3168,0.0001,2.4758,0.9328
SVNE-2P,SVNE-2P,2812.2,0,91.031,-9999,92.3470993041992,0.3203,0.0001,2.471,0.9357
SVNE-2P,SVNE-2P,2812.35,0,90.71,-9999,92.8942031860352,0.3127,0.0001,2.467,0.9
SVNE-2P,SVNE-2P,2812.5,0,90.1732,-9999,92.4647979736328,0.3029,0.0001,2.4679,0.8664
SVNE-2P,SVNE-2P,2812.65,0,89.6976,-9999,90.4848022460938,0.2988,0.0001,2.4714,0.8588
SVNE-2P,SVNE-2P,2812.8,0,89.4949,-9999,89.258903503418,0.3024,0.0001,2.4717,0.8724
SVNE-2P,SVNE-2P,2812.95,0,89.2926,-9999,90.4526977539062,0.3028,0.0001,2.4706,0.8716
SVNE-2P,SVNE-2P,2813.1,0,89.1838,-9999,91.6211013793945,0.296,0.0001,2.4709,0.8476
SVNE-2P,SVNE-2P,2813.25,0,89.1494,1,91.1010971069336,0.2915,0.0001,2.4736,0.8369
SVNE-2P,SVNE-2P,2813.4,0,89.0333,1,90.8889999389648,0.2915,0.0005,2.472,0.8336
SVNE-2P,SVNE-2P,2813.55,0,88.8484,1,92.9281005859375,0.2972,0.0067,2.4621,0.8339
SVNE-2P,SVNE-2P,2813.7,0,88.5965,1,94.8377990722656,0.3051,0.0062,2.4533,0.8445
SVNE-2P,SVNE-2P,2813.85,0,88.2845,1,94.1704025268555,0.3017,0.009,2.4509,0.8273
SVNE-2P,SVNE-2P,2814,0,88.1131,1,91.8802032470703,0.2829,0.0185,2.4541,0.7659
SVNE-2P,SVNE-2P,2814.15,0,88.2873,1,90.2279968261719,0.2655,0.0212,2.4587,0.7124
SVNE-2P,SVNE-2P,2814.3,0,88.7216,1,89.9709014892578,0.2559,0.0238,2.4602,0.6808
SVNE-2P,SVNE-2P,2814.45,0,89.1886,1,90.7021026611328,0.2554,0.0253,2.4588,0.6761
SVNE-2P,SVNE-2P,2814.6,0,89.3018,1,91.0961990356445,0.258,0.0246,2.4583,0.6845
SVNE-2P,SVNE-2P,2814.75,0,89.4806,1,91.1461029052734,0.2657,0.0215,2.4583,0.7123
SVNE-2P,SVNE-2P,2814.9,0,89.753,1,90.6225967407227,0.2705,0.0205,2.4573,0.7276
SVNE-2P,SVNE-2P,2815.05,0,90.0558,1,90.9578018188477,0.276,0.0174,2.4585,0.7499
