wellName,datasetName,DEPT,DT,FACIES_2010_New,GR,NPHI,PHIE,RHOB,VCL
,,m,us/ft,unitless,gAPI,V/V,V/V,g/cm3,V/V
15_1-SD-3X,LQC,1794.625,113.77999878,-9999,130.10279846,0.3980000019,0,2.4660000801,1
15_1-SD-3X,LQC,1794.75,112.83000183,-9999,130.17880249,0.4325000048,0,2.3454999924,1
15_1-SD-3X,LQC,1794.875,111.87999725,-9999,130.2545929,0.4670000076,0,2.2249999046,1.0036000013
15_1-SD-3X,LQC,1795,110.29399872,-9999,135.96659851,0.4169999957,0,2.381000042,1
15_1-SD-3X,LQC,1795.125,109.14700317,-9999,139.21009827,0.4059999883,0,2.4489998817,1
15_1-SD-3X,LQC,1795.25,107.3710022,-9999,135.58259583,0.3519999981,0,2.4769999981,1
15_1-SD-3X,LQC,1795.375,106.4469986,-9999,137.95880127,0.3899999857,0,2.4769999981,1
15_1-SD-3X,LQC,1795.5,106.48000336,-9999,141.43200684,0.4280000031,0,2.4179999828,1
15_1-SD-3X,LQC,1795.625,106.51300049,-9999,144.90319824,0.4659999907,0,2.3589999676,1
15_1-SD-3X,LQC,1795.75,105.27899933,-9999,138.51060486,0.503000021,0,2.2899999619,1.1216000319
15_1-SD-3X,LQC,1795.875,105.03900146,-9999,144.74000549,0.4519999921,0,2.4809999466,1
15_1-SD-3X,LQC,1796,105.77600098,-9999,118.93070221,0.4370000064,0,2.4930000305,1
15_1-SD-3X,LQC,1796.125,107.05999756,-9999,136.99090576,0.3919999897,0,2.4470000267,1
15_1-SD-3X,LQC,1796.25,107.66999817,-9999,134.91879272,0.4070000052,0,2.4539999962,1
15_1-SD-3X,LQC,1796.375,108.27999878,-9999,132.84680176,0.4219999909,0,2.4609999657,1
15_1-SD-3X,LQC,1796.5,113.29299927,-9999,143.69999695,0.4429999888,0,2.4340000153,1
15_1-SD-3X,LQC,1796.625,116.18199921,-9999,130.53970337,0.4959999919,0,2.3450000286,1
15_1-SD-3X,LQC,1796.75,117.38800049,-9999,118.7621994,0.4819999933,0,2.3380000591,1
15_1-SD-3X,LQC,1796.875,118.82050323,-9999,127.2233963,0.4699999988,0,2.3840000629,1
15_1-SD-3X,LQC,1797,120.25299835,-9999,135.69039917,0.4580000043,0,2.4300000668,1
15_1-SD-3X,LQC,1797.125,119.69100189,-9999,117.9355011,0.5879999995,0,2.4200000763,1
15_1-SD-3X,LQC,1797.25,119.6190033,-9999,129.72070313,0.5419999957,0,2.1229999065,0.9847000241
