wellName,datasetName,DEPTH,DT,Electro_Facies,GR,NPHI,PHIE,RHOB,VCL
,,M,us/ft,unitless,gAPI,V/V,V/V,g/cm3,V/V
SVNE-3XP_raw,SVNE-3XP,2417.1,85.6906,-9999,60.3158,0.2016,0.206,2.2649,0.1263
SVNE-3XP_raw,SVNE-3XP,2417.25,85.7669,2,67.0536,0.2,0.1923,2.2774,0.1654
SVNE-3XP_raw,SVNE-3XP,2417.4,85.8432,-9999,76.7055,0.1948,0.1811,2.267,0.2345
SVNE-3XP_raw,SVNE-3XP,2417.55,85.6381,-9999,83.1304,0.1947,0.1866,2.2317,0.2908
SVNE-3XP_raw,SVNE-3XP,2417.7,85.2246,2,84.6353,0.1953,0.1956,2.2077,0.3054
SVNE-3XP_raw,SVNE-3XP,2417.85,84.6285,-9999,86.8376,0.191,0.1867,2.2165,0.3277
SVNE-3XP_raw,SVNE-3XP,2418,83.7911,-9999,93.4034,0.1927,0.1582,2.2526,0.4023
SVNE-3XP_raw,SVNE-3XP,2418.15,83.0145,4,101.4587,0.2055,0.1206,2.2983,0.5125
SVNE-3XP_raw,SVNE-3XP,2418.3,82.3202,6,106.4927,0.2194,0.0899,2.3392,0.5938
SVNE-3XP_raw,SVNE-3XP,2418.45,82.0897,-9999,103.1818,0.2271,0.0914,2.3576,0.5392
SVNE-3XP_raw,SVNE-3XP,2418.6,82.7443,4,89.439,0.226,0.1413,2.3259,0.3558
SVNE-3XP_raw,SVNE-3XP,2418.75,84.1092,2,72.1121,0.2174,0.1977,2.2612,0.1995
SVNE-3XP_raw,SVNE-3XP,2418.9,85.6654,-9999,59.783,0.2097,0.2327,2.208,0.1234
SVNE-3XP_raw,SVNE-3XP,2419.05,86.8108,-9999,54.5718,0.2091,0.2473,2.185,0.0978
SVNE-3XP_raw,SVNE-3XP,2419.2,86.9366,-9999,53.4853,0.2038,0.2469,2.1842,0.0929
SVNE-3XP_raw,SVNE-3XP,2419.35,86.6262,-9999,53.7465,0.1966,0.2412,2.1917,0.0941
SVNE-3XP_raw,SVNE-3XP,2419.5,84.5726,-9999,55.4793,0.1798,0.2187,2.2284,0.102
SVNE-3XP_raw,SVNE-3XP,2419.65,81.2575,4,60.2563,0.1696,0.1829,2.2956,0.1259
SVNE-3XP_raw,SVNE-3XP,2419.8,78.0757,-9999,70.8034,0.1667,0.1365,2.3739,0.1902
SVNE-3XP_raw,SVNE-3XP,2419.95,75.1915,6,85.0104,0.1678,0.087,2.4289,0.3091
SVNE-3XP_raw,SVNE-3XP,2420.1,73.3207,-9999,94.8523,0.1737,0.0593,2.4389,0.4205
SVNE-3XP_raw,SVNE-3XP,2420.25,73.2377,-9999,93.9071,0.178,0.0748,2.4126,0.4085
SVNE-3XP_raw,SVNE-3XP,2420.4,74.0307,4,86.2028,0.1708,0.1033,2.3847,0.3211
SVNE-3XP_raw,SVNE-3XP,2420.55,76.1725,-9999,81.5415,0.1612,0.1104,2.3829,0.276
SVNE-3XP_raw,SVNE-3XP,2420.7,76.7096,-9999,82.9012,0.1596,0.1009,2.3973,0.2886
SVNE-3XP_raw,SVNE-3XP,2420.85,78.583,-9999,86.0687,0.1638,0.1019,2.3824,0.3198
SVNE-3XP_raw,SVNE-3XP,2421,79.7979,2,87.7634,0.1706,0.1308,2.3167,0.3375
SVNE-3XP_raw,SVNE-3XP,2421.15,82.2237,-9999,89.8509,0.1865,0.1666,2.2449,0.3604
SVNE-3XP_raw,SVNE-3XP,2421.3,84.2756,-9999,94.4549,0.2112,0.1834,2.2079,0.4154
SVNE-3XP_raw,SVNE-3XP,2421.45,86.2303,-9999,98.448,0.2228,0.183,2.2006,0.4687
SVNE-3XP_raw,SVNE-3XP,2421.6,87.3901,-9999,99.7247,0.2133,0.1666,2.2045,0.4869
SVNE-3XP_raw,SVNE-3XP,2421.75,87.544,-9999,100.4057,0.2045,0.1503,2.2207,0.4968
SVNE-3XP_raw,SVNE-3XP,2421.9,87.0477,-9999,100.1743,0.2067,0.1472,2.256,0.4934
SVNE-3XP_raw,SVNE-3XP,2422.05,86.7429,4,96.7118,0.214,0.1363,2.294,0.4449
SVNE-3XP_raw,SVNE-3XP,2422.2,86.3827,-9999,90.9598,0.2208,0.1471,2.3028,0.3731
SVNE-3XP_raw,SVNE-3XP,2422.35,86.5195,2,85.0419,0.2221,0.1714,2.2759,0.3094
SVNE-3XP_raw,SVNE-3XP,2422.5,86.751,-9999,79.8707,0.2175,0.1935,2.2431,0.2611
